@relation A4

@attribute Idade numeric
@attribute Atraso numeric
@attribute Valor numeric
@attribute CONTATO numeric
@attribute EFETIVO numeric
@attribute Acordo numeric

@data
2,6,1,11,1,0
2,2,2,5,2,1
1,6,0,8,1,1
2,0,5,6,1,1
2,6,1,3,1,1
2,6,0,4,1,0
4,0,5,10,1,0
2,2,0,4,1,0
2,6,0,2,1,1
2,6,1,4,1,1
2,0,5,4,1,1
2,6,1,5,2,1
1,2,0,3,1,1
0,1,2,9,1,1
1,6,0,2,1,1
4,1,2,1,1,1
2,6,1,3,1,1
1,0,2,6,1,1
0,1,5,5,3,1
0,0,2,5,1,1
4,2,0,5,2,0
4,0,5,2,1,1
4,0,2,7,1,0
4,6,1,4,2,1
4,2,1,10,1,1
2,2,1,3,1,1
2,6,1,6,1,1
2,0,2,10,1,0
1,2,5,7,1,0
1,6,0,6,1,1
4,6,0,2,1,1
4,6,1,2,1,0
1,6,1,5,1,1
2,0,2,7,1,0
2,2,2,6,1,1
2,1,2,5,1,1
4,0,1,11,1,1
2,1,1,21,1,1
2,1,2,6,1,1
2,6,0,2,1,1
2,2,0,5,1,1
1,2,1,10,3,1
1,6,2,12,2,1
4,1,5,4,1,1
4,2,2,3,1,1
4,2,5,10,2,1
2,2,0,16,2,1
2,0,5,4,1,1
2,2,5,5,1,1
2,2,1,2,1,1
1,2,5,3,2,1
4,1,1,5,2,1
4,6,0,3,1,1
2,0,1,5,1,1
1,6,0,9,1,1
4,6,0,5,1,1
4,6,0,5,1,1
4,6,0,3,1,1
1,6,0,2,1,1
1,2,0,5,1,1
2,2,1,6,1,1
2,0,5,6,1,0
4,2,2,3,2,1
4,2,5,4,1,1
4,2,2,3,1,0
2,0,2,8,1,1
4,6,0,5,1,1
2,2,2,3,1,1
2,6,0,1,1,1
1,2,2,2,1,1
1,6,0,6,1,1
1,6,0,4,1,1
4,2,1,1,1,1
4,1,5,2,1,1
4,2,2,8,1,1
4,6,1,3,1,1
2,6,1,2,1,1
2,6,1,10,1,1
4,1,5,11,1,1
4,2,0,4,1,1
2,6,0,5,1,1
2,6,0,5,1,1
1,2,1,6,1,1
2,2,1,4,2,1
4,2,2,9,1,0
2,0,2,6,2,1
1,1,5,12,1,1
1,0,1,4,1,1
4,6,1,4,1,1
1,6,1,11,1,0
1,2,0,6,1,1
4,2,2,6,1,1
4,6,0,1,1,1
2,2,1,5,1,1
4,2,5,4,1,1
2,2,2,8,1,1
2,6,0,5,1,1
4,6,2,4,1,1
1,6,0,3,1,1
1,0,2,6,2,1
4,2,0,13,1,1
2,0,5,3,2,1
1,1,1,4,1,1
4,0,1,6,1,1
2,2,1,8,1,1
2,6,0,7,1,1
4,6,1,5,2,1
4,6,1,5,1,0
2,6,1,5,1,1
4,1,5,7,1,1
4,2,1,11,1,0
4,2,0,1,1,1
2,6,0,3,1,1
4,2,2,5,1,1
2,6,1,17,2,1
1,1,2,8,2,1
1,6,1,9,1,1
2,6,2,4,1,1
1,6,0,1,1,1
4,0,2,16,1,1
2,0,2,2,1,1
2,2,1,2,1,1
1,0,1,8,1,1
2,6,0,6,1,1
1,2,1,4,1,1
2,2,5,13,1,0
1,6,0,5,1,1
1,2,1,5,1,1
2,1,2,8,2,1
2,6,1,2,1,1
2,6,0,1,1,1
4,6,0,3,1,1
4,6,0,6,1,1
4,6,0,4,1,1
2,2,1,10,2,1
2,6,0,2,1,1
4,2,1,3,2,1
2,6,5,5,1,1
1,2,1,3,1,1
2,2,0,4,1,1
4,0,5,11,1,0
1,6,0,7,1,1
4,6,0,2,1,1
2,6,1,2,1,1
4,6,0,6,1,1
2,6,0,4,1,1
2,0,2,4,2,1
2,2,1,5,1,1
2,6,1,3,1,1
2,6,0,2,1,1
2,1,1,9,1,0
2,6,0,8,1,1
4,0,2,4,1,1
1,2,1,1,1,1
2,6,1,1,1,1
2,2,1,4,1,1
1,2,0,10,1,0
1,6,1,11,1,1
1,6,0,2,1,1
1,1,2,4,1,1
2,0,2,6,1,1
2,2,5,8,1,1
2,1,2,9,2,1
2,1,2,9,1,1
4,1,5,6,1,1
1,6,0,2,2,1
4,6,2,7,2,1
2,6,0,3,1,1
1,6,0,3,2,1
4,2,2,7,1,1
2,6,0,6,1,1
4,2,1,7,2,1
1,6,1,7,1,1
1,1,2,8,1,1
2,6,2,8,1,1
0,2,0,3,1,1
1,6,0,9,1,1
1,6,0,6,1,1
2,2,2,6,2,1
1,1,5,6,1,1
1,2,5,4,1,1
0,2,1,6,1,1
2,2,5,9,2,1
1,0,5,5,1,1
0,1,5,7,1,1
0,2,1,12,1,1
2,2,2,6,1,1
2,6,0,14,2,1
1,2,1,8,2,1
2,6,0,6,1,1
0,1,1,5,1,1
4,2,2,6,1,1
2,0,5,7,1,1
4,2,1,1,1,1
2,6,0,2,1,1
0,1,5,15,2,0
2,2,1,2,1,1
2,6,0,1,1,1
1,2,1,2,1,1
2,0,5,8,1,0
4,0,2,4,2,0
2,6,0,1,1,1
2,6,1,6,1,1
1,2,1,5,2,1
4,1,2,3,2,1
4,2,2,3,2,1
4,2,1,3,2,0
1,2,0,10,1,1
1,2,0,5,1,1
1,2,1,4,1,1
1,6,0,4,1,1
0,6,0,1,1,1
2,1,1,4,1,1
1,2,5,7,1,1
1,6,1,6,2,1
1,2,0,3,1,1
1,0,2,7,1,1
2,2,0,1,1,0
2,6,0,9,1,1
1,2,1,2,1,1
2,6,0,6,1,1
4,0,5,6,2,1
1,0,1,4,1,1
0,6,0,2,1,1
1,6,0,2,1,1
0,2,2,3,1,1
1,2,0,4,1,1
1,1,2,4,1,1
2,6,1,9,2,1
1,2,1,3,1,1
2,6,0,2,1,1
4,0,1,6,1,1
0,0,1,1,1,1
2,6,0,8,1,1
1,6,0,4,1,1
4,2,2,3,1,1
1,2,2,2,1,1
1,1,5,11,1,0
1,2,2,3,2,1
2,0,2,3,1,1
1,6,5,11,3,1
1,2,1,7,1,1
1,2,1,5,1,1
1,2,1,2,1,1
0,0,5,13,1,1
1,2,1,6,1,0
1,0,1,6,1,1
1,0,5,13,2,0
2,1,1,5,1,1
2,6,1,6,1,1
4,1,2,2,1,1
2,0,2,6,2,0
2,2,2,3,1,1
1,6,1,2,1,1
1,1,1,5,1,1
2,2,1,8,1,0
0,2,2,7,1,0
4,6,0,4,2,1
0,1,2,6,1,1
1,2,0,4,2,1
4,2,2,4,1,1
0,6,0,3,1,1
1,6,0,3,1,1
2,1,1,13,1,0
0,0,2,8,1,1
1,2,1,1,1,1
1,2,2,3,1,1
1,1,5,6,1,1
2,6,2,7,1,1
2,1,5,3,1,1
1,0,5,6,1,1
4,2,2,13,1,0
1,6,2,6,3,0
4,2,5,2,1,1
1,2,1,2,1,1
1,6,0,3,2,1
2,1,2,4,1,1
0,2,0,4,1,1
1,6,0,11,1,1
1,6,1,3,1,1
1,2,5,13,1,1
2,6,0,5,2,1
1,0,5,9,2,1
1,2,2,8,1,1
4,1,5,8,2,1
1,1,1,5,1,1
1,6,1,1,1,1
0,0,5,6,2,1
1,0,2,14,1,1
4,0,5,6,2,1
0,2,2,4,1,1
0,2,1,7,2,1
1,6,0,4,1,1
0,2,0,6,1,1
0,1,2,6,1,0
4,0,1,6,2,0
4,1,1,9,1,0
4,2,1,7,2,1
1,1,2,3,1,1
0,6,0,4,2,1
0,2,1,8,1,1
1,2,1,8,1,1
1,6,0,4,1,1
4,6,0,7,1,1
2,6,1,2,1,1
1,6,0,6,1,1
1,2,5,6,1,1
2,1,2,2,1,1
2,2,1,1,1,1
0,2,1,3,1,1
4,2,0,2,1,1
0,0,1,8,1,1
1,6,0,6,1,1
0,0,1,7,1,1
0,2,5,13,3,1
1,2,2,8,1,1
2,2,1,8,1,1
2,2,0,5,1,0
0,2,1,3,1,1
1,6,0,3,2,1
0,6,1,9,2,0
0,0,5,11,1,0
2,2,1,2,1,1
2,6,1,9,1,1
0,2,1,5,1,1
2,0,2,5,1,1
1,2,1,4,1,1
0,2,1,4,1,1
2,6,0,4,1,1
4,2,5,3,1,1
1,0,2,5,1,1
2,6,0,5,1,1
1,6,0,7,4,1
0,1,2,1,1,1
2,2,0,1,1,1
1,2,1,9,1,1
4,2,5,13,1,1
4,1,2,4,1,1
1,2,2,11,1,1
0,2,0,5,1,1
1,6,1,8,1,1
1,6,0,4,1,1
4,6,1,8,2,1
1,6,1,6,1,1
2,2,1,5,1,1
4,1,1,8,1,0
2,2,1,2,1,1
4,6,0,7,1,1
4,2,1,5,1,1
2,2,5,4,1,1
2,2,1,8,1,1
2,6,0,4,1,1
0,2,1,5,1,1
1,6,0,8,1,1
2,2,5,4,1,1
1,2,1,5,1,1
1,6,0,2,1,1
1,2,2,8,2,1
4,6,2,11,1,1
2,0,1,2,1,1
0,2,1,5,1,1
4,6,1,7,2,1
0,6,0,4,1,1
0,2,0,7,2,1
2,6,0,8,2,1
0,6,0,1,1,1
0,2,5,7,1,1
0,6,1,7,1,1
2,6,1,5,1,1
0,6,1,13,1,1
1,0,5,4,1,1
1,6,0,2,1,1
1,6,0,1,1,1
1,2,1,9,1,1
0,2,1,5,1,1
1,6,0,11,1,0
0,6,0,2,1,1
1,6,2,2,2,1
0,2,1,4,2,1
1,0,2,5,1,1
2,2,2,8,1,1
2,6,0,2,1,1
2,2,5,7,1,1
1,6,2,18,1,1
4,2,0,3,1,0
2,6,1,2,1,1
4,2,1,3,1,1
4,1,2,8,1,1
1,6,0,10,1,1
1,2,0,4,1,1
1,2,2,7,1,1
0,6,0,4,1,1
0,6,0,7,1,1
0,2,1,9,1,1
1,2,0,4,1,1
0,0,5,4,1,0
0,6,1,4,1,1
1,2,5,6,1,1
4,2,2,6,1,0
0,6,0,11,1,1
4,2,1,8,1,0
0,2,2,4,2,1
1,1,2,5,2,1
1,2,0,11,1,1
0,2,1,5,1,1
1,2,1,7,3,1
2,6,0,8,1,1
1,1,5,11,1,0
1,2,1,4,1,1
2,2,1,3,1,1
4,6,0,8,1,1
4,6,0,3,1,1
2,0,2,4,1,1
2,0,2,8,1,1
0,0,2,11,1,1
1,2,0,8,1,1
2,2,2,13,1,1
0,1,2,6,1,0
1,1,5,10,2,1
0,2,1,6,2,1
4,0,5,4,3,1
0,0,5,10,2,1
1,0,1,7,2,1
0,2,1,4,1,1
1,2,5,9,1,0
0,2,1,7,1,1
1,1,2,8,1,1
4,0,5,2,1,1
0,1,2,5,1,1
4,2,2,3,1,1
1,6,0,4,1,1
4,2,1,6,1,1
0,2,1,6,1,1
0,1,5,7,1,1
0,2,5,4,2,1
1,0,2,8,1,1
2,1,1,5,1,0
0,1,1,6,1,0
0,6,0,6,1,1
1,2,2,13,1,1
0,2,2,5,1,1
4,1,1,5,1,0
1,0,5,11,1,0
0,0,1,5,1,1
4,0,5,11,1,1
1,1,1,2,1,1
0,6,0,8,1,0
1,6,0,8,2,1
0,0,2,7,1,1
4,0,1,7,1,1
1,6,0,8,2,1
1,6,0,2,1,1
0,6,0,9,1,1
4,2,5,6,1,1
2,2,5,6,3,1
1,1,5,5,1,1
1,1,5,5,1,1
0,1,1,4,3,1
1,1,5,4,1,0
1,2,2,1,1,1
2,0,2,9,1,1
4,6,0,8,1,1
0,0,5,7,2,0
0,0,2,2,1,1
2,2,5,16,1,0
0,0,5,8,2,0
1,1,1,4,1,1
1,6,1,10,3,1
2,0,2,1,1,1
0,6,1,6,1,1
1,2,0,5,1,1
0,2,0,3,1,1
2,0,5,5,1,1
1,2,1,8,1,1
2,6,0,6,1,0
2,2,2,6,1,1
1,6,0,2,1,1
4,0,5,11,1,1
1,6,0,6,1,1
0,2,0,5,1,1
2,6,1,3,1,1
2,6,0,5,1,0
4,6,0,4,1,1
1,6,0,2,1,0
0,2,1,3,1,1
0,0,2,5,1,1
4,0,2,4,1,1
2,1,2,2,1,1
4,6,0,4,1,1
4,2,0,10,1,1
0,0,2,5,2,0
1,2,0,3,2,1
4,2,1,8,1,1
1,6,1,8,2,1
1,0,2,5,1,1
4,6,1,6,1,1
0,1,2,2,1,1
0,1,1,1,1,1
2,2,0,4,1,1
1,2,1,5,1,1
2,2,1,6,1,1
2,6,2,10,1,1
4,0,2,6,3,0
0,2,1,5,1,1
1,0,5,11,2,0
2,2,1,10,1,1
0,0,2,5,1,1
0,6,0,6,1,1
1,6,1,9,1,0
2,2,2,8,1,1
0,6,1,4,1,1
1,6,0,15,1,1
2,2,2,9,1,1
0,0,0,5,1,1
4,0,1,10,1,0
4,1,2,9,2,0
1,6,1,3,1,1
2,6,0,3,1,1
1,1,5,8,2,0
1,1,2,12,1,1
4,1,5,7,1,1
4,6,2,5,1,0
2,0,2,2,1,1
0,2,0,6,1,1
1,6,0,6,1,0
0,6,0,11,1,1
0,6,0,14,2,1
1,0,1,12,1,1
0,6,0,3,1,1
1,0,5,9,1,1
0,2,1,1,1,1
0,1,5,12,1,1
4,6,2,7,2,1
1,2,1,4,2,1
2,2,1,10,2,1
1,2,2,2,1,1
2,2,2,3,1,1
4,0,2,4,1,1
4,0,5,7,1,1
1,2,1,7,1,1
0,0,2,5,1,1
4,6,0,12,1,1
0,2,0,8,1,1
1,1,5,8,1,0
1,0,1,5,1,1
0,1,2,4,1,0
1,6,1,10,1,1
0,6,0,10,1,1
1,1,1,3,1,1
1,2,2,2,1,1
2,1,2,6,2,1
0,6,0,8,1,0
0,6,0,10,2,1
0,6,1,9,1,1
1,2,1,5,2,1
2,0,5,9,1,1
1,0,5,8,1,0
1,0,0,4,1,1
1,6,0,2,1,1
1,2,1,6,1,1
2,1,1,5,1,1
2,1,5,8,2,0
1,6,0,5,2,0
4,0,1,8,1,1
0,6,0,5,1,1
1,6,1,14,1,1
2,1,5,2,1,0
4,0,5,7,1,1
2,2,1,1,1,1
2,0,1,6,1,1
4,0,2,7,1,0
4,2,2,4,1,1
1,2,1,1,1,1
1,0,1,10,1,0
1,0,5,7,1,0
0,6,0,10,1,1
4,2,0,7,1,1
4,1,5,9,1,0
1,2,1,2,1,1
0,6,0,13,1,1
1,1,1,1,1,1
2,0,2,1,1,1
0,6,0,5,1,1
2,2,2,5,3,1
0,0,5,9,1,1
0,2,1,1,1,0
2,0,5,8,1,1
0,0,1,3,1,1
0,2,1,3,1,1
0,0,5,9,1,1
1,6,0,1,1,1
1,2,1,4,1,1
1,1,2,4,1,1
2,0,1,1,1,1
0,1,5,5,1,1
0,2,2,7,1,1
0,6,0,4,1,1
2,0,2,9,1,0
4,0,2,2,1,1
2,2,2,5,1,1
1,2,1,4,1,1
4,6,0,2,1,1
2,2,1,7,1,1
1,2,1,5,1,1
1,0,2,1,1,1
4,2,1,5,3,1
1,0,1,3,1,0
0,2,2,6,1,1
2,6,1,9,1,1
4,6,1,11,1,1
4,0,5,9,1,0
4,6,0,3,1,1
0,2,0,8,1,1
0,6,0,1,1,1
4,6,1,4,2,1
1,6,1,3,1,1
4,0,2,2,1,0
2,1,5,9,3,1
2,6,1,11,1,1
0,2,1,6,1,1
0,0,2,3,1,1
2,2,0,6,1,1
0,6,0,7,1,1
4,6,1,7,2,1
4,2,1,11,1,0
1,0,2,3,1,1
1,1,1,9,1,1
1,6,0,9,1,1
0,6,0,4,1,1
0,0,1,10,1,1
0,2,0,4,2,1
0,1,1,7,1,1
0,1,1,4,1,1
1,6,0,9,3,1
0,1,1,6,1,1
1,6,0,4,2,1
1,0,1,1,1,1
1,6,0,3,2,1
4,0,5,7,1,1
2,2,2,4,1,1
4,6,1,1,1,1
1,1,2,7,2,1
2,1,0,9,1,0
1,2,0,5,1,1
2,2,0,3,1,1
0,2,1,4,1,1
1,6,1,8,3,1
0,6,0,4,1,1
1,2,1,5,1,1
4,6,0,4,1,0
0,2,1,5,1,1
1,6,1,5,1,1
4,2,1,6,1,1
2,2,2,7,1,1
0,2,1,3,1,1
0,6,1,12,1,1
1,2,2,10,1,1
4,2,0,4,1,1
4,1,2,6,1,1
0,2,1,4,1,1
2,2,0,3,1,1
1,2,2,6,1,1
1,2,0,5,1,1
1,6,0,1,1,1
0,1,2,4,1,1
4,0,2,5,1,1
4,0,2,5,1,1
2,2,1,6,1,1
1,6,1,6,1,1
2,2,1,6,2,1
2,0,5,5,1,1
1,1,5,7,2,1
2,1,1,4,1,1
1,2,2,7,2,1
2,2,5,8,1,1
1,2,1,5,1,1
0,6,0,4,1,0
4,1,2,13,1,1
0,2,1,5,1,1
1,2,0,6,1,1
4,1,5,3,2,1
1,2,2,2,1,1
4,2,0,2,1,1
0,2,1,12,2,1
4,0,1,9,2,1
1,0,5,8,1,1
2,6,1,5,1,1
2,2,2,12,1,1
2,6,0,12,1,1
1,0,2,12,1,1
0,0,2,5,1,1
0,2,2,8,1,1
4,1,5,2,1,1
1,1,5,3,1,1
2,2,1,2,1,1
1,1,1,5,1,1
0,2,0,3,1,1
1,1,2,10,2,1
4,0,2,6,1,0
0,2,2,12,2,1
1,2,1,4,1,1
2,1,2,7,1,0
0,0,5,7,2,0
1,2,0,4,1,1
1,1,1,8,1,1
4,0,2,3,1,1
1,2,1,3,1,0
4,2,2,10,1,0
0,2,1,2,1,1
2,0,2,5,1,1
4,2,1,11,1,1
0,0,1,9,1,1
1,2,1,12,1,0
1,1,5,10,1,1
2,0,2,2,1,1
1,1,1,3,1,1
4,0,5,8,1,0
0,6,0,6,1,1
2,2,1,3,1,1
0,2,1,4,1,1
1,6,0,4,2,1
1,2,5,11,2,1
0,2,2,5,1,1
4,2,2,5,1,1
0,2,1,6,1,1
4,1,5,7,1,1
2,6,0,5,1,0
0,2,1,11,1,1
2,0,5,9,1,1
1,2,1,5,2,1
2,2,1,8,1,1
0,0,5,7,1,1
1,2,2,6,1,1
1,1,1,7,1,0
4,2,1,3,1,1
1,2,1,2,1,1
0,0,2,5,1,1
4,0,5,4,1,1
2,2,1,3,1,1
1,1,1,6,1,1
0,1,5,19,2,1
2,1,2,8,1,1
0,2,2,5,1,1
0,2,2,6,1,1
0,1,5,8,1,1
4,1,1,6,1,0
2,6,1,5,1,1
0,0,2,9,1,1
2,1,1,5,1,1
1,2,1,9,1,1
1,2,2,15,1,0
0,6,1,10,1,1
1,0,5,7,1,1
1,2,1,9,1,1
2,1,2,2,1,1
2,6,0,1,1,1
1,1,1,3,1,1
4,1,5,6,1,1
0,0,1,5,2,1
2,2,5,6,1,1
2,0,2,4,1,1
1,6,0,7,1,1
4,1,2,2,1,1
1,1,1,9,1,1
1,0,5,10,1,1
2,2,0,9,2,1
4,1,1,13,1,1
1,1,2,4,1,1
2,0,5,6,1,1
0,6,0,6,2,1
1,6,0,6,1,1
4,0,5,6,1,1
0,2,2,1,1,1
1,1,1,3,1,0
4,6,0,3,1,1
1,2,1,4,1,1
1,0,1,7,1,1
0,1,0,17,2,1
0,0,2,4,1,1
1,1,2,3,2,1
1,0,5,3,3,1
1,1,5,6,2,0
2,6,1,8,1,1
0,6,0,5,2,1
1,2,2,3,1,1
1,0,2,1,1,1
1,0,5,11,1,1
1,0,5,5,1,1
1,1,5,2,1,1
1,1,5,6,1,1
0,1,2,4,1,1
0,0,5,7,1,1
2,0,5,7,2,0
4,0,5,9,1,1
0,1,2,9,1,1
4,1,2,7,1,0
4,0,2,3,1,1
0,2,1,3,1,1
4,2,1,2,1,1
4,1,1,3,1,1
0,2,1,4,1,1
4,1,5,7,1,0
1,6,1,2,1,1
2,2,1,5,1,0
0,2,2,10,1,1
1,1,1,7,1,1
1,0,2,10,1,1
2,0,2,9,1,1
0,0,5,11,1,0
1,6,0,6,1,1
0,1,0,4,1,1
1,1,2,5,1,1
1,0,2,4,2,1
4,1,2,9,1,0
1,0,2,10,1,1
1,0,2,11,1,0
1,0,0,4,1,1
1,0,1,9,1,1
1,0,5,4,1,1
1,0,2,7,1,0
1,1,1,7,1,1
4,1,2,8,1,1
0,0,2,9,1,1
0,0,1,5,1,1
0,2,0,8,1,1
0,2,0,5,1,1
4,0,5,7,1,1
0,0,5,14,1,1
4,0,2,8,1,1
0,0,2,3,1,1
1,0,2,5,2,1
4,0,5,8,1,1
0,1,2,2,1,1
1,1,1,8,1,1
0,0,1,2,2,0
2,1,2,11,2,1
0,2,0,13,1,1
1,0,5,8,1,1
2,1,1,6,1,1
0,1,1,5,1,1
1,1,2,3,1,1
0,2,1,5,1,1
1,1,2,2,1,1
1,2,1,4,1,1
0,2,0,3,1,1
0,6,0,8,2,1
4,6,0,2,1,1
2,2,0,11,1,1
0,2,1,5,1,1
4,1,5,5,1,1
0,1,2,16,1,0
0,0,1,8,1,1
4,6,0,13,1,1
2,0,2,5,1,1
1,0,1,4,1,1
0,0,2,11,1,1
1,0,2,3,1,1
1,0,5,5,3,1
1,1,1,5,1,0
1,1,5,6,1,1
1,2,1,7,1,1
1,1,2,2,1,1
1,0,2,4,1,0
4,0,5,19,2,1
4,6,2,8,1,0
4,6,0,2,1,1
4,6,0,1,1,1
1,2,1,6,2,1
1,1,2,4,1,1
0,2,5,4,1,1
1,2,5,8,1,0
0,2,2,8,1,1
0,1,2,3,2,1
1,1,2,6,1,1
4,2,2,13,1,0
1,1,0,5,2,1
0,0,2,4,2,0
2,2,0,2,1,1
4,1,2,2,1,1
1,6,1,3,1,1
2,2,5,8,2,1
1,2,2,5,1,0
2,2,2,4,1,1
1,2,2,3,1,1
1,2,2,1,1,1
2,2,0,2,1,1
1,6,1,13,1,1
2,1,1,5,2,1
4,1,1,4,1,1
2,0,5,5,1,1
0,2,1,5,1,1
4,2,1,5,2,0
1,1,1,12,1,1
0,0,2,8,2,1
4,0,2,3,1,0
2,0,5,15,2,1
1,6,2,1,1,1
2,2,1,4,2,1
4,2,1,7,3,1
1,0,2,3,1,1
1,6,1,8,1,1
2,0,1,8,2,1
1,6,0,5,1,1
4,2,0,9,1,1
1,2,1,9,1,1
2,6,0,5,1,1
4,1,5,9,1,1
0,0,1,3,2,1
1,0,2,9,1,1
1,2,2,14,1,1
0,2,1,9,1,1
1,6,0,7,2,1
4,1,1,8,1,0
1,6,1,8,1,1
2,0,5,12,2,1
1,0,5,13,1,1
0,2,1,5,2,1
2,0,5,16,1,1
1,0,1,6,1,1
2,2,1,5,1,1
4,2,1,1,1,1
2,6,0,3,1,1
1,0,2,9,1,0
0,2,1,1,1,0
4,6,0,1,1,1
0,0,1,13,1,0
2,6,0,14,2,1
1,1,2,10,1,0
1,6,0,4,1,1
4,1,1,2,1,1
4,1,1,4,1,1
4,1,1,4,1,1
4,0,2,5,4,1
1,0,5,15,2,1
0,1,1,2,1,1
1,2,1,5,1,1
4,1,2,4,1,0
0,0,5,2,1,1
2,0,5,7,1,1
2,6,2,2,1,1
2,6,1,3,1,1
2,0,2,2,1,1
2,1,5,10,1,1
2,1,5,10,2,1
4,2,5,4,1,0
2,1,5,14,1,0
1,6,0,4,1,1
1,6,1,1,1,0
2,0,2,7,1,0
1,6,0,1,1,1
1,6,0,2,2,1
2,2,1,4,1,1
2,6,0,1,1,1
2,2,5,10,1,0
1,6,0,10,1,1
4,1,5,8,1,1
0,0,2,9,1,1
2,2,2,9,1,1
0,0,5,8,1,1
2,1,2,4,3,1
1,0,0,8,2,1
4,2,1,1,1,1
2,0,5,7,1,1
2,6,1,2,2,1
0,6,0,2,1,1
1,2,2,4,1,1
4,0,1,8,1,1
4,2,5,6,2,1
4,2,2,5,1,1
2,1,2,4,1,1
2,1,2,4,2,1
0,6,1,13,1,1
1,1,1,6,1,1
2,0,5,7,1,0
0,0,5,6,1,1
0,0,5,8,1,1
4,0,2,5,1,0
1,1,2,6,1,1
1,6,0,4,2,1
4,6,1,1,1,1
1,2,1,5,2,1
0,0,2,7,1,0
1,6,0,3,1,0
4,2,1,6,1,1
1,2,0,8,1,1
0,0,2,6,2,1
1,0,1,5,1,1
2,6,0,8,1,1
0,0,5,3,1,1
0,2,2,5,1,1
2,0,5,4,2,1
4,1,2,1,1,1
1,1,2,9,1,0
2,6,1,1,1,1
0,1,5,16,1,0
4,6,2,4,2,0
2,2,2,1,1,1
1,0,1,11,1,0
4,0,5,4,1,1
1,0,2,5,2,1
0,0,2,9,1,1
0,0,1,16,2,1
0,1,0,3,1,1
1,6,0,10,1,1
0,2,0,2,2,1
4,6,1,2,1,0
2,0,5,8,1,1
2,0,1,6,1,1
1,1,1,5,1,1
2,0,5,10,1,0
1,6,0,5,2,1
1,2,1,11,1,1
2,0,1,1,1,1
0,6,0,2,2,1
1,2,1,9,1,1
4,0,2,6,1,1
1,6,1,7,1,1
2,0,5,7,1,1
1,0,2,10,2,1
0,0,2,8,2,1
0,0,2,10,1,0
4,6,0,5,1,1
2,6,0,11,1,1
2,0,2,8,1,0
2,2,1,7,2,1
4,2,1,3,1,1
1,6,0,4,2,1
1,1,1,7,2,1
4,0,1,3,1,1
1,6,2,11,2,1
1,1,1,5,2,1
0,0,0,2,1,1
2,1,2,9,2,0
4,1,2,8,1,1
1,2,1,5,1,1
1,6,0,5,1,1
0,6,1,8,2,1
1,6,0,9,1,1
1,6,0,5,2,1
0,2,0,3,1,1
0,2,1,7,1,1
1,1,2,5,1,1
2,1,5,10,1,1
2,2,2,7,2,1
2,2,1,2,1,0
4,0,1,2,2,1
1,6,2,3,1,1
2,6,0,5,1,1
4,2,0,4,1,0
1,6,0,3,2,1
1,2,1,11,1,1
1,6,0,9,2,1
0,6,0,3,2,1
4,6,0,3,1,1
1,6,0,6,1,1
2,2,1,2,1,1
0,2,1,7,1,1
0,1,1,10,1,1
0,0,2,10,1,1
4,0,5,8,1,1
4,2,0,4,1,1
2,2,2,7,1,1
4,1,2,4,1,1
4,2,2,3,1,1
0,0,2,11,2,1
1,6,2,7,1,1
1,6,0,7,2,1
4,0,1,6,1,1
4,2,2,6,1,0
1,2,1,5,2,1
0,1,2,2,2,1
1,6,0,3,1,1
2,2,1,3,3,1
4,2,1,13,1,1
1,0,2,10,1,1
1,6,1,9,1,0
2,0,1,9,2,0
1,6,0,4,2,1
1,2,1,2,1,1
0,2,1,8,2,1
4,1,1,5,1,0
1,6,0,5,2,1
1,2,1,3,2,1
4,1,5,10,1,1
2,2,1,4,1,1
2,0,5,6,1,1
4,6,1,3,1,1
4,2,1,4,2,1
4,2,2,6,3,1
4,1,2,6,2,1
4,0,5,3,2,1
1,2,0,4,1,1
1,2,1,4,1,1
0,2,5,11,1,1
0,6,0,6,1,1
4,2,1,7,2,1
0,6,0,12,2,1
2,6,1,3,1,1
2,6,0,3,1,1
1,2,1,6,2,1
4,6,0,2,1,1
0,2,1,11,1,1
4,2,2,2,1,1
4,1,1,4,1,1
4,2,0,3,1,1
4,2,0,4,1,0
2,2,1,1,1,1
2,0,5,3,1,1
2,2,1,2,1,1
2,2,2,4,1,1
1,0,2,1,1,1
4,2,1,8,2,1
1,1,1,10,1,1
4,2,1,1,1,1
0,1,2,7,1,1
1,6,0,9,1,0
0,6,0,10,1,0
4,6,2,19,1,1
0,2,2,4,1,1
1,6,1,9,1,0
4,1,1,7,1,1
1,0,2,10,1,1
0,1,1,4,1,1
0,2,1,7,1,1
2,2,1,6,1,1
2,1,5,2,1,1
1,1,1,3,2,1
1,2,0,1,1,1
4,6,0,4,1,1
1,2,0,1,1,1
2,6,0,2,1,1
2,6,1,5,1,1
1,0,5,7,1,1
4,2,1,9,1,1
4,0,2,12,2,1
2,6,0,2,1,1
4,1,5,1,1,1
4,6,1,9,2,1
0,2,1,8,4,1
4,0,1,3,1,1
4,6,0,2,2,1
1,2,2,7,1,1
0,0,2,7,1,1
0,1,1,5,2,1
0,6,0,3,2,1
1,0,2,2,1,1
4,0,1,6,2,1
1,0,1,3,1,1
2,0,2,2,1,1
2,2,2,5,1,0
1,0,1,1,1,0
2,6,0,5,1,1
4,6,0,3,1,1
2,6,1,3,1,1
1,1,5,7,1,1
0,0,1,6,1,1
2,0,1,6,2,1
2,6,1,6,2,1
1,6,0,4,1,1
